//
// Definitions:
//
186,000 mps: ^^It's not just a good idea -- It's the law.
A.A.A.A.A.:  ^^An organization for drunks who drive
Abstainer:   ^^A weak person who yields to the temptation of denying himself a pleasure.
Accident:    ^^A condition in which presence of mind is good, but absence of body is better.
Accordion:   ^^A bagpipe with pleats.
Accuracy:    ^^The vice of being right
Acid:        ^^better living through chemistry.
Admiration:  ^^Our polite recognition of another's resemblance to ourselves.
Adolescence: ^^The stage between puberty and adultery.
Adult:       ^^One old enough to know better.
Advertisement:^^The most truthful part of a newspaper - Thomas Jefferson
Advertising agency:  ^^eighty-five per cent confusion and fifteen per cent commission. - Fred Allen, American humorist (1894-1956)
Afternoon:   ^^That part of the day we spend worrying about how we wasted the morning.
Alliance:    ^^In international politics, the union of two thieves who have their hands so deeply inserted in each other's pocket that they cannot separately plunder a third.
Ambidextrous:^^Able to pick with equal skill a right-hand pocket or a left.
Antonym:     ^^The opposite of the word you're trying to think of.
Ass:         ^^The masculine of "lass".
Automobile:  ^^A four-wheeled vehicle that runs up hills and down pedestrians.
Barometer:   ^^An ingenious instrument which indicates what kind of weather we are having.
Birth:       ^^The first and direst of all disasters.
Boy Hippie:  ^^a guy who looks like a Jill and smells like a john.
Boy:         ^^A noise with dirt on it.
Brain:       ^^an apparatus with which we think we think. - Ambrose Bierce
Bride:       ^^A woman with a fine prospect of happiness behind her.
Broad-mindedness:^^The result of flattening high-mindedness out.
Bureaucracy  ^^A giant mechanism operated by pygmies. - Honoré de Balzac
Cabbage:     ^^A familiar kitchen-garden vegetable about as large and wise as a man's head.
Caution:     ^^breathing may be hazardous to your health.
Christ:      ^^A man who was born at least 5,000 years ahead of his time.
Christian:   ^^One who believes that the New Testament is a divinely inspired book admirably suited to the spiritual needs of his neighbor.^^One who follows the teachings of Christ in so far as they are not inconsistent with a life of sin.
Cigarette:   ^^A fire at one end, a fool at the other, and a bit of tobacco in between.
Collaboration:^^A literary partnership based on the false assumption that the other fellow can spell.
Committee:   ^^A group of men who keep minutes and waste hours. - Anonymous
Conservative:^^One who admires radicals centuries after they're dead. - Leo C. Rosten
Conservative:^^A statesman who is enamored of existing evils, as distinguished from the Liberal, who wishes to replace them with others. - Ambrose Bierce, American author (1842-1914)
Conversation:^^A vocal competition in which the one who is catching his breath is called the listener.
Coronation:  ^^The ceremony of investing a sovereign with the outward and visible signs of his divine right to be blown skyhigh with a dynamite bomb.
Coward:      ^^One who in a perilous emergency thinks with his legs.
Cynic:       ^^A blackguard whose faulty vision sees things as they are, not as they ought to be.^^Hence the custom among the Scythians of plucking out a cynic's eyes to improve his vision.
Cynic:       ^^One who looks through rose-colored glasses with a jaundiced eye.
Dawn:        ^^The time when men of reason go to bed.
Death:       ^^To stop sinning suddenly.
Deliberation:^^The act of examining one's bread to determine which side it is buttered on.
Die:         ^^To stop sinning suddenly. - Elbert Hubbard
Electrocution:^^Burning at the stake with all the modern improvements.
Fairy Tale:  ^^A horror story to prepare children for the newspapers.
Garter:      ^^An elastic band intended to keep a woman from coming out of her stockings and desolating the country.
Hand:        ^^A singular instrument worn at the end of a human arm and commonly thrust into somebody's pocket.
Happiness:   ^^An agreeable sensation arising from contemplating the misery of another.
Health:      ^^Merely the slowest possible rate at which one can die.
